id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort,Geschlecht
413,3,robinevanessa,3,tiktok,0,Deutschland,2
414,3,kjell_krs,23,tiktok,0,Deutschland,1
415,3,kjell_kriese,7,instagram,0,Deutschland,1
416,3,le_nxaa,20,tiktok,0,Deutschland,2
417,3,celineft_EINS,90,tiktok,0,Deutschland,2
418,3,celinefitEINS,67,instagram,0,Deutschland,2
419,3,annabaldauf,211,tiktok,0,Deutschland,2
420,3,piet_heilker,492,tiktok,0,Deutschland,1
421,3,janinine_fit,37,tiktok,0,Deutschland,2
422,3,janinine_fit_,55,instagram,0,Deutschland,2
423,3,andresofit,5,tiktok,0,Deutschland,1
424,3,andresofit_,27,instagram,0,Deutschland,1
425,3,llauraabe,121,instagram,0,Deutschland,2
426,3,aurelaviola,15,tiktok,0,Deutschland,2
427,2,droptimesupplement,11,tiktok,0,Deutschland,0
428,3,aandrysha_,17,tiktok,0,Deutschland,2
429,3,philpphoeffgen,12,tiktok,0,Deutschland,1
430,3,verenasteigner,7,tiktok,0,Deutschland,2
431,3,vivianefreigang,13,tiktok,0,Deutschland,2
432,3,maamejoyce,162,tiktok,0,Deutschland,2
433,3,sara_trpn,12,tiktok,0,Deutschland,2
434,3,mireeeeyc,316,tiktok,0,Deutschland,2
435,3,bryaninheelee,38,tiktok,0,Deutschland,2
436,3,bullymamaZWEITAUSENDACHT,11,youtube,0,Deutschland,2
437,3,ChristianWolf,64,youtube,0,Deuschland,1
438,3,antoniaelena_official,48,youtube,0,Deutschland,2
439,3,lisasabnehmtraum,40,youtube,0,Deutschland,2
440,3,DiiieJule,67,youtube,0,Deutschland,2
441,3,Teichners_Pizza_Palace,224,youtube,0,Deutschland,1
442,3,yvonnedilauro,773,youtube,0,Deutschland,2
443,1,Unique Space Artist Management,0,NA,0,Deutschland,0
444,3,BeSophy,18,youtube,0,Deutschland,2
445,3,melis_neues_leben,55,tiktok,0,Deutschland,2
446,3,dinassnacks,77,tiktok,0,Deutschland,2
447,3,mellisabnehmweg_,73,tiktok,0,Deutschland,2
448,3,mellisabnehmweg,511,instagram,0,Deutschland,2
449,3,lucyfischer_official,58,tiktok,0,Deutschland,2
450,3,michelleschellhaas,647,tiktok,0,Deutschland,2
451,3,christian_wolf_,690,tiktok,0,Deutschland,1
452,3,lisas_fitlife,29,tiktok,0,Deutschland,2
453,3,lisas_fitlife_,84,instagram,0,Deutschland,2
454,3,nickeeees,86,tiktok,0,Deutschland,2
455,3,sarahs_healthylifestyle,46,tiktok,0,Deutschland,2
456,3,sarahs_healthylifestyle_,221,instagram,0,Deutschland,2
457,3,antoniaelenaofficial,141,tiktok,0,Deutschland,2
458,3,xculex,532,tiktok,0,Deutschland,2
459,3,chrissis_chaoskitchen,69,tiktok,0,Deutschland,2
460,3,chrissis_chaoskitchen_,124,instagram,0,Deutschland,2
461,3,bylaraxx,2,tiktok,0,Deutschland,2
462,3,bylaraxx_,27,instagram,0,Deutschland,2
463,3,paula_doeringer,567,tiktok,0,Deutschland,2
464,3,alinaristenpart,308,tiktok,0,Deutschland,2
465,3,inas_fitblog,40,tiktok,0,Deutschland,2
466,3,rezo,1600,youtube,0,Deutschland,1
467,3,francescafitnessfreak,122,instagram,0,Italien,2
468,3,Was Ela Macht,7,youtube,0,Deutschland,2
469,3,lisaschmitt_,91,tiktok,0,Deutschland,2
470,3,jillcoopersuperjump,48,tiktok,0,Italien,2
471,3,fitness__kaykay,273,tiktok,0,Deutschland,2
472,3,cuorioveggie_,62,tiktok,0,Italien,2
473,3,julia_gold,142,tiktok,0,Deutschland,2
474,3,danielegesi,1,tiktok,0,Deutschland,2
475,3,gugu_official_real,2,tiktok,0,Deutschland,2
476,3,guiltyfreerecipies_,38,tiktok,0,Italien,2
477,3,mirou_fitness,106,tiktok,0,NA,2
478,3,fabianxarnold,2200,tiktok,0,Deutschland,2
479,3,talkingtomybody_,325,tiktok,0,Italien,2
480,3,bycarolelo,9,tiktok,0,Italien,2
481,3,onlylennard_,321,tiktok,0,Deutschland,1
482,1,micenna_talents,0,NA,0,Deutschland,0
483,3,Aylinaphrodite,9,youtube,0,Deutschland,2
484,3,Lisa Fitness,3,facebook,0,Deutschland,2
485,3,Giulia Gwinn,515,facebook,0,Deutschland,2
486,3,Alicia schmidt,63,facebook,0,USA,2
487,3,Julius Ise,5,facebook,0,Deutschland,1
488,3,Eating Food,40,facebook,0,Deutschland,0
489,3,Lynn Laura,1,facebook,0,Deutschland,2
490,3,Kalara Fuchs,7,facebook,0,NA,2
491,3,CrossFit Leipzig,1,facebook,0,Deutschland,0
492,3,CAMP STAHL,405,facebook,0,Deutschland,1
493,3,Andy Gen Ji,3,facebook,0,Deutschland,1
494,3,maggiefitNULLVIERELF,2,instagram,0,Deutschland,2
495,3,anna_lebelt,24,instagram,0,NA,2
496,3,rominacampion_,415,instagram,0,Deutschland,2
497,3,toONENINEEIGHTNINE_,96,instagram,0,Deutschland,1
498,3,schanzenfit,7,instagram,0,Deutschland,0
499,3,johannes_luckas,379,instagram,0,Deutschland,1
